function,max_memory,runtime
test_filter,107.09765625,0.2328693866729736
test_filter,116.9296875,0.2346413135528564
test_filter,174.19140625,0.2314784526824951
test_filter,184.35546875,0.2368867397308349
test_filter,153.8984375,0.2186999320983886
calculate_total_counts,3783.5234375,260.1030068397522
calculate_total_counts,3807.98046875,264.7599449157715
calculate_total_counts,3798.41796875,264.3489639759064
calculate_total_counts,3808.4140625,249.09566950798035
calculate_total_counts,3798.64453125,248.45665168762207
expression_log,29865.2265625,4120.844888687134
expression_log,29858.16823,4132.568911398445
expression_log,29895.09375,4025.674701929093
expression_log,29909.0,4019.486791610718
expression_log,29868.97265625,3988.268506288528
expression_normalize,29388.96875,3841.9554722309113
expression_normalize,29442.56813,3892.8562385691566
expression_normalize,29413.0859375,3971.8843128681183
expression_normalize,29401.43359375,3929.327817440033
expression_normalize,29393.00390625,3987.485779762268
filter_annsql_memory_backed_wrapper,89.69921875,189.86650586128235
filter_annsql_memory_backed_wrapper,89.48046875,172.65174007415771
filter_annsql_memory_backed_wrapper,89.484375,170.87360954284668
filter_annsql_memory_backed_wrapper,89.57421875,160.9419870376587
filter_annsql_memory_backed_wrapper,89.7578125,163.75099635124207
