size,type,runtime,filter,runtime_log,runtime_log10,size_log,size_log10
1000,AnnSql In-Memory,0.0066683292388916016,Filter1,-5.010385939353993,-2.1759829656670804,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0025496482849121094,Filter1,-5.97179985681012,-2.5935197248432647,6.907755278982137,3.0
1000,AnnSql On-Disk,0.015355587005615234,Filter1,-4.176275896864329,-1.8137335769137322,6.907755278982137,3.0
1000,AnnData Backed,0.021042585372924805,Filter1,-3.8612070197203336,-1.6769009021506414,6.907755278982137,3.0
1000,AnnSql In-Memory,0.003923177719116211,Filter2,-5.5408533109413565,-2.406362017977194,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0016286373138427734,Filter2,-6.4200116175869475,-2.788175619272781,6.907755278982137,3.0
1000,AnnSql On-Disk,0.13498687744140625,Filter2,-2.0025777094060673,-0.8697084487775089,6.907755278982137,3.0
1000,AnnData Backed,0.039849042892456055,Filter2,-3.2226568917895246,-1.3995821051716755,6.907755278982137,3.0
1000,AnnSql In-Memory,0.005379199981689453,Filter3,-5.225215618153931,-2.269282309718941,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0017848014831542969,Filter3,-6.328448083854423,-2.7484100818291832,6.907755278982137,3.0
1000,AnnSql On-Disk,0.16127276420593262,Filter3,-1.8246581599001528,-0.7924389702043777,6.907755278982137,3.0
1000,AnnData Backed,0.04924273490905762,Filter3,-3.0109934367822797,-1.3076578346414518,6.907755278982137,3.0
1000,AnnSql In-Memory,0.004857301712036133,Filter4,-5.327272198536896,-2.3136049194211785,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0019845962524414062,Filter4,-6.222339784805272,-2.702327833067997,6.907755278982137,3.0
1000,AnnSql On-Disk,0.15607476234436035,Filter4,-1.857420140737008,-0.806667317698044,6.907755278982137,3.0
1000,AnnData Backed,0.05883932113647461,Filter4,-2.832944920764903,-1.2303323466240423,6.907755278982137,3.0
1000,AnnSql In-Memory,0.006606101989746094,Filter5,-5.019761513176301,-2.180054725642785,6.907755278982137,3.0
