size,method,memory,filter_type,gene_id,memory_log,memory_log10,size_log,size_log10
1000,Seurat,124.02,Filter1,2732,4.82044284292173,2.09349172701093,6.90775527898214,3
1000,Seurat,122.16,Filter2,2732,4.80533166091038,2.08692902404836,6.90775527898214,3
1000,Seurat,115.1,Filter3,2732,4.74580131572784,2.06107532362979,6.90775527898214,3
1000,Seurat,115.2,Filter4,2732,4.74666974826179,2.06145247908719,6.90775527898214,3
1000,Seurat,115.24,Filter5,2732,4.74701691021633,2.06160324960838,6.90775527898214,3
1000,Seurat,115.94,Filter6,2732,4.75307281591159,2.06423329603475,6.90775527898214,3
1000,Seurat,123.21,Filter1,9845,4.81389021663658,2.09064595757331,6.90775527898214,3
1000,Seurat,122.73,Filter2,9845,4.80998682060942,2.08895073421804,6.90775527898214,3
1000,Seurat,115.09,Filter3,9845,4.7457144309804,2.06103759006342,6.90775527898214,3
1000,Seurat,115.19,Filter4,9845,4.74658293893842,2.06141477827707,6.90775527898214,3
1000,Seurat,115.18,Filter5,9845,4.74649612207853,2.06137707419389,6.90775527898214,3
1000,Seurat,115.21,Filter6,9845,4.74675655004996,2.06149017662482,6.90775527898214,3
1000,Seurat,118.87,Filter1,3264,4.77803045899253,2.07507226270612,6.90775527898214,3
1000,Seurat,118.85,Filter2,3264,4.7778621938062,2.0749991860642,6.90775527898214,3
1000,Seurat,115.09,Filter3,3264,4.7457144309804,2.06103759006342,6.90775527898214,3
1000,Seurat,115.19,Filter4,3264,4.74658293893842,2.06141477827707,6.90775527898214,3
1000,Seurat,115.18,Filter5,3264,4.74649612207853,2.06137707419389,6.90775527898214,3
1000,Seurat,115.21,Filter6,3264,4.74675655004996,2.06149017662482,6.90775527898214,3
1000,Seurat,143.91,Filter1,4859,4.96918810418208,2.15809097318556,6.90775527898214,3
1000,Seurat,140.22,Filter2,4859,4.94321261777882,2.14680996277587,6.90775527898214,3
1000,Seurat,115.09,Filter3,4859,4.7457144309804,2.06103759006342,6.90775527898214,3
