size,method,runtime,filter_type,runtime_log,runtime_log10,size_log,size_log10
1000,AnnSql In-Memory,0.0056102275848388,Filter1,-5.183163992562928,-2.2510195207697072,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0013270378112792,Filter1,-6.624806030233033,-2.8771167026095936,6.907755278982137,3.0
5000,AnnSql In-Memory,0.0059115886688232,Filter1,-5.13084067339557,-2.228295791980461,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,0.0018043518066406,Filter1,-6.317553861587096,-2.743678781213856,8.517193191416238,3.6989700043360187
10000,AnnSql In-Memory,0.0087485313415527,Filter1,-4.738869439380136,-2.0580648479827497,9.210340371976184,4.0
10000,AnnData Not-Backed,0.0019013881683349,Filter1,-6.265171044665784,-2.7209292128783815,9.210340371976184,4.0
15000,AnnSql In-Memory,0.0100171566009521,Filter1,-4.603455995956483,-1.9992555367283389,9.615805480084347,4.176091259055681
15000,AnnData Not-Backed,0.0024507045745849,Filter1,-6.0113797143059,-2.610709038548199,9.615805480084347,4.176091259055681
20000,AnnSql In-Memory,0.0082721710205078,Filter1,-4.7948582868035965,-2.0823804954668814,9.903487552536127,4.301029995663981
20000,AnnData Not-Backed,0.0025384426116943,Filter1,-5.976204531004205,-2.5954326505403373,9.903487552536127,4.301029995663981
25000,AnnSql In-Memory,0.0156950950622558,Filter1,-4.154407031856878,-1.8042360495155092,10.126631103850338,4.3979400086720375
25000,AnnData Not-Backed,0.0041077136993408,Filter1,-5.494888682786396,-2.3863998336067596,10.126631103850338,4.3979400086720375
30000,AnnSql In-Memory,0.0061371326446533,Filter1,-5.093397641884476,-2.212034490009463,10.308952660644293,4.477121254719663
30000,AnnData Not-Backed,0.0046842098236083,Filter1,-5.363558038432655,-2.329363659459131,10.308952660644293,4.477121254719663
35000,AnnSql In-Memory,0.0079350471496582,Filter1,-4.836465983035508,-2.1004504883451074,10.46310334047155,4.544068044350276
35000,AnnData Not-Backed,0.0055465698242187,Filter1,-5.19457559198556,-2.2559755154286463,10.46310334047155,4.544068044350276
40000,AnnSql In-Memory,0.0074689388275146,Filter1,-4.897002347824895,-2.1267410975276206,10.596634733096073,4.6020599913279625
40000,AnnData Not-Backed,0.004817247390747,Filter1,-5.335552594806237,-2.3172010498289257,10.596634733096073,4.6020599913279625
45000,AnnSql In-Memory,0.0080251693725585,Filter1,-4.825172504574011,-2.0955457929677865,10.714417768752456,4.653212513775344
45000,AnnData Not-Backed,0.0048108100891113,Filter1,-5.336889791350478,-2.3177817869093094,10.714417768752456,4.653212513775344
50000,AnnSql In-Memory,0.007864236831665,Filter1,-4.8454297806618305,-2.1043434161911168,10.819778284410283,4.698970004336019
50000,AnnData Not-Backed,0.0070557594299316,Filter1,-4.953911055256323,-2.1514562351373363,10.819778284410283,4.698970004336019
75000,AnnSql In-Memory,0.0151617527008056,Filter1,-4.188979291941034,-1.819250591296982,11.225243392518447,4.8750612633917
75000,AnnData Not-Backed,0.0664911270141601,Filter1,-2.7106867685811786,-1.177236305762963,11.225243392518447,4.8750612633917
100000,AnnSql In-Memory,0.0092289447784423,Filter1,-4.68541056219885,-2.0348479526141734,11.512925464970229,5.0
100000,AnnData Not-Backed,0.7319185733795166,Filter1,-0.3120860097608651,-0.1355372319183481,11.512925464970229,5.0
1000,AnnSql On-Disk,0.0174646377563476,Filter1,-4.0475771420579605,-1.7578404178735068,6.907755278982137,3.0
1000,AnnData Backed,0.0211710929870605,Filter1,-3.855118566114696,-1.674256720346389,6.907755278982137,3.0
5000,AnnSql On-Disk,0.0182695388793945,Filter1,-4.002520148133807,-1.7382724140410983,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.1101398468017578,Filter1,-2.206004386089773,-0.9580555319331592,8.517193191416238,3.6989700043360187
10000,AnnSql On-Disk,0.0208456516265869,Filter1,-3.8706099075677263,-1.6809845244567192,9.210340371976184,4.0
10000,AnnData Backed,0.3554744720458984,Filter1,-1.034301840908205,-0.4491915821288085,9.210340371976184,4.0
15000,AnnSql On-Disk,0.0207991600036621,Filter1,-3.8728426775296603,-1.6819542041305464,9.615805480084347,4.176091259055681
15000,AnnData Backed,0.695899486541748,Filter1,-0.36255004496498894,-0.1574534839420705,9.615805480084347,4.176091259055681
20000,AnnSql On-Disk,0.022113561630249,Filter1,-3.811564210236079,-1.6553413039254552,9.903487552536127,4.301029995663981
20000,AnnData Backed,1.3077023029327393,Filter1,0.2682716299846221,0.11650888855351234,9.903487552536127,4.301029995663981
25000,AnnSql On-Disk,0.0235867500305175,Filter1,-3.747070164001532,-1.627331895530178,10.126631103850338,4.3979400086720375
25000,AnnData Backed,2.174548625946045,Filter1,0.7768211147030009,0.3373691235414463,10.126631103850338,4.3979400086720375
30000,AnnSql On-Disk,0.0285873413085937,Filter1,-3.5547912707253846,-1.543826233193883,10.308952660644293,4.477121254719663
30000,AnnData Backed,3.0458972454071045,Filter1,1.1137955196318308,0.4837152481446691,10.308952660644293,4.477121254719663
35000,AnnSql On-Disk,0.0205841064453125,Filter1,-3.883236032751369,-1.6864679809517948,10.46310334047155,4.544068044350276
35000,AnnData Backed,4.867001533508301,Filter1,1.5824780459341319,0.6872614830822342,10.46310334047155,4.544068044350276
40000,AnnSql On-Disk,0.0199928283691406,Filter1,-3.9123816512768506,-1.6991257622490687,10.596634733096073,4.6020599913279625
40000,AnnData Backed,6.29328179359436,Filter1,1.8394826824385428,0.7988771785396509,10.596634733096073,4.6020599913279625
45000,AnnSql On-Disk,0.0205307006835937,Filter1,-3.8858339187921667,-1.6875962285239268,10.714417768752456,4.653212513775344
45000,AnnData Backed,8.55282187461853,Filter1,2.1462612723112224,0.9321094272874164,10.714417768752456,4.653212513775344
50000,AnnSql On-Disk,0.0141997337341308,Filter1,-4.2545320656682755,-1.8477197992001755,10.819778284410283,4.698970004336019
50000,AnnData Backed,8.999773025512695,Filter1,2.197199357630727,0.9542315566603943,10.819778284410283,4.698970004336019
75000,AnnSql On-Disk,0.043790578842163,Filter1,-3.1283365796637534,-1.3586193140840608,11.225243392518447,4.8750612633917
75000,AnnData Backed,30.803242921829224,Filter1,3.4276199741067406,1.4885964408159245,11.225243392518447,4.8750612633917
100000,AnnSql On-Disk,0.0311617851257324,Filter1,-3.4685627706047404,-1.5063776714086934,11.512925464970229,5.0
100000,AnnData Backed,49.197365283966064,Filter1,3.895840070925448,1.6919418451804953,11.512925464970229,5.0
250000,AnnSql On-Disk,0.0252981185913085,Filter1,-3.6770252499937017,-1.5969117758911897,12.429216196844383,5.3979400086720375
250000,AnnData Backed,356.78160858154297,Filter1,5.877123853922025,2.5524024592203083,12.429216196844383,5.3979400086720375
1000,AnnSql In-Memory,0.0052189826965332,Filter2,-5.255452781801889,-2.282414143039655,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0022947788238525,Filter2,-6.077118813162829,-2.6392591664270553,6.907755278982137,3.0
1000,AnnSql On-Disk,0.0210320949554443,Filter2,-3.8617056767566322,-1.677117466149868,6.907755278982137,3.0
1000,AnnData Backed,0.0249643325805664,Filter2,-3.690307169592161,-1.6026800402818833,6.907755278982137,3.0
1000,AnnSql In-Memory,0.0116560459136962,Filter3,-4.45193027103589,-1.9334487505289353,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0019207000732421,Filter3,-6.255065537920444,-2.7165404470620444,6.907755278982137,3.0
1000,AnnSql On-Disk,0.1564772129058838,Filter3,-1.8548448840385314,-0.8055488979244112,6.907755278982137,3.0
1000,AnnData Backed,0.0425822734832763,Filter3,-3.156317227722906,-1.3707711551362276,6.907755278982137,3.0
1000,AnnSql In-Memory,0.0188765525817871,Filter4,-3.9698347312411664,-1.7240773178459174,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0022723674774169,Filter4,-6.086933049381211,-2.643521435060794,6.907755278982137,3.0
1000,AnnSql On-Disk,0.1396100521087646,Filter4,-1.9689020847364342,-0.855083310808842,6.907755278982137,3.0
1000,AnnData Backed,0.0526933670043945,Filter4,-2.9432656946504916,-1.27824404996185,6.907755278982137,3.0
1000,AnnSql In-Memory,0.0169644355773925,Filter5,-4.0766361511259515,-1.7704605851613118,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0021359920501708,Filter5,-6.1488240797212645,-2.670400368016786,6.907755278982137,3.0
1000,AnnSql On-Disk,0.1499383449554443,Filter5,-1.8975311030137303,-0.824087287278654,6.907755278982137,3.0
1000,AnnData Backed,0.0550541877746582,Filter5,-2.899437346505916,-1.2592096402117259,6.907755278982137,3.0
1000,AnnSql In-Memory,0.0180232524871826,Filter6,-4.016092549904497,-1.7441668332362827,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0028808116912841,Filter6,-5.849683187291516,-2.540485129122932,6.907755278982137,3.0
1000,AnnSql On-Disk,0.143564224243164,Filter6,-1.94097278820415,-0.8429537714414316,6.907755278982137,3.0
1000,AnnData Backed,0.0153861045837402,Filter6,-4.174290476637143,-1.812871319864806,6.907755278982137,3.0
5000,AnnSql In-Memory,0.0098743438720703,Filter2,-4.617815413737061,-2.0054917526337874,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,0.0015511512756347,Filter2,-6.468757865285542,-2.80934584566177,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,0.0294382572174072,Filter2,-3.5254601846520073,-1.531087904363986,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.1348812580108642,Filter2,-2.003360457882524,-0.8700483921215523,8.517193191416238,3.6989700043360187
5000,AnnSql In-Memory,0.0103423595428466,Filter3,-4.571507240301384,-1.985380368443654,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,0.00419282913208,Filter3,-5.474379562379868,-2.377492835785515,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,0.2233247756958007,Filter3,-1.4991281737793767,-0.6510630935380824,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.1815502643585205,Filter3,-1.7062227250032131,-0.741003114366825,8.517193191416238,3.6989700043360187
5000,AnnSql In-Memory,0.0128443241119384,Filter4,-4.354853268571666,-1.8912887440390145,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,0.0031464099884033,Filter4,-5.761493162301974,-2.502184687911064,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,0.1507158279418945,Filter4,-1.8923591493898169,-0.8218411363591288,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.2195169925689697,Filter4,-1.5163256345704887,-0.6585318558624099,8.517193191416238,3.6989700043360187
5000,AnnSql In-Memory,0.0143828392028808,Filter5,-4.241719505087704,-1.8421553748409822,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,0.0025053024291992,Filter5,-5.989345821513374,-2.601139840493557,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,0.1510236263275146,Filter5,-1.890318988661571,-0.8209551058126558,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.2192118167877197,Filter5,-1.5177168166581976,-0.6591360385664246,8.517193191416238,3.6989700043360187
5000,AnnSql In-Memory,0.0150260925292968,Filter6,-4.197967087108115,-1.823153941142522,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,0.0020442008972167,Filter6,-6.192748325160922,-2.689476425432993,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,0.1487817764282226,Filter6,-1.9052746343236773,-0.8274502601970091,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.0527222156524658,Filter6,-2.9427183628791465,-1.2780063467937843,8.517193191416238,3.6989700043360187
10000,AnnSql In-Memory,0.0071194171905517,Filter2,-4.94492941216817,-2.147555557105727,9.210340371976184,4.0
10000,AnnData Not-Backed,0.0023727416992187,Filter2,-6.043709157339857,-2.624749537260852,9.210340371976184,4.0
10000,AnnSql On-Disk,0.018052339553833,Filter2,-4.0144799874317645,-1.7434665062526509,9.210340371976184,4.0
10000,AnnData Backed,0.2208447456359863,Filter2,-1.5102953327735134,-0.6559129290677723,9.210340371976184,4.0
10000,AnnSql In-Memory,0.0181927680969238,Filter3,-4.0067311211786025,-1.7401012163978966,9.210340371976184,4.0
10000,AnnData Not-Backed,0.0060031414031982,Filter3,-5.1154723795678665,-2.2216214267748216,9.210340371976184,4.0
10000,AnnSql On-Disk,0.1472449302673339,Filter3,-1.9156578864670255,-0.8319596493070753,9.210340371976184,4.0
10000,AnnData Backed,0.3003716468811035,Filter3,-1.202734748096914,-0.5223410642917874,9.210340371976184,4.0
10000,AnnSql In-Memory,0.0180940628051757,Filter4,-4.012171416334777,-1.742463906564148,9.210340371976184,4.0
10000,AnnData Not-Backed,0.006554365158081,Filter4,-5.027624014956822,-2.18346936678002,9.210340371976184,4.0
10000,AnnSql On-Disk,0.1318953037261963,Filter4,-2.025746824697918,-0.8797706676993398,9.210340371976184,4.0
10000,AnnData Backed,0.3399004936218261,Filter4,-1.0791023700250868,-0.4686482047106162,9.210340371976184,4.0
10000,AnnSql In-Memory,0.0149240493774414,Filter5,-4.204781315035735,-1.8261133227299182,9.210340371976184,4.0
10000,AnnData Not-Backed,0.0031354427337646,Filter5,-5.764984891976847,-2.5037011268411593,9.210340371976184,4.0
10000,AnnSql On-Disk,0.1302108764648437,Filter5,-2.0386000161003137,-0.8853527378002466,9.210340371976184,4.0
10000,AnnData Backed,0.3406741619110107,Filter5,-1.0768287954329048,-0.4676608038110361,9.210340371976184,4.0
10000,AnnSql In-Memory,0.0148663520812988,Filter6,-4.208654869298867,-1.8277955859717496,9.210340371976184,4.0
10000,AnnData Not-Backed,0.0022025108337402,Filter6,-6.118157281328262,-2.657081946697065,9.210340371976184,4.0
10000,AnnSql On-Disk,0.1286301612854004,Filter6,-2.0508139590215038,-0.8906571858132007,9.210340371976184,4.0
10000,AnnData Backed,0.0903666019439697,Filter6,-2.4038805273690147,-1.043992048191042,9.210340371976184,4.0
15000,AnnSql In-Memory,0.0062251091003417,Filter2,-5.079164310625638,-2.2058530327846486,9.615805480084347,4.176091259055681
15000,AnnData Not-Backed,0.002589464187622,Filter2,-5.956304302038788,-2.5867900909120456,9.615805480084347,4.176091259055681
15000,AnnSql On-Disk,0.017881155014038,Filter2,-4.024007913222577,-1.7476044318475847,9.615805480084347,4.176091259055681
15000,AnnData Backed,0.4332268238067627,Filter2,-0.8364938456273929,-0.3632846613020074,9.615805480084347,4.176091259055681
15000,AnnSql In-Memory,0.0087218284606933,Filter3,-4.741926377182932,-2.0593924592020256,9.615805480084347,4.176091259055681
15000,AnnData Not-Backed,0.0038285255432128,Filter3,-5.565275525574191,-2.4169684510280907,9.615805480084347,4.176091259055681
15000,AnnSql On-Disk,0.1432709693908691,Filter3,-1.9430175509179284,-0.8438418006048269,9.615805480084347,4.176091259055681
15000,AnnData Backed,0.411665678024292,Filter3,-0.8875437201514772,-0.38545534010967053,9.615805480084347,4.176091259055681
15000,AnnSql In-Memory,0.0098297595977783,Filter4,-4.622340801095837,-2.007457103392179,9.615805480084347,4.176091259055681
15000,AnnData Not-Backed,0.0037093162536621,Filter4,-5.59690771755208,-2.4307061374545924,9.615805480084347,4.176091259055681
15000,AnnSql On-Disk,0.1263167858123779,Filter4,-2.068962354162323,-0.8985389336782583,9.615805480084347,4.176091259055681
15000,AnnData Backed,0.4823222160339355,Filter4,-0.7291428902810734,-0.31666273376805837,9.615805480084347,4.176091259055681
15000,AnnSql In-Memory,0.0102779865264892,Filter5,-4.5777509013208,-1.988091955971261,9.615805480084347,4.176091259055681
15000,AnnData Not-Backed,0.0036666393280029,Filter5,-5.608479750878882,-2.4357318076728225,9.615805480084347,4.176091259055681
15000,AnnSql On-Disk,0.1269516944885254,Filter5,-2.0639486232362017,-0.8963614980032961,9.615805480084347,4.176091259055681
15000,AnnData Backed,0.6446444988250732,Filter5,-0.43905627874570347,-0.190679719104235,9.615805480084347,4.176091259055681
15000,AnnSql In-Memory,0.041313886642456,Filter6,-3.1865565972144587,-1.3839039464426424,9.615805480084347,4.176091259055681
15000,AnnData Not-Backed,0.0057878494262695,Filter6,-5.151994485363057,-2.237482775789159,9.615805480084347,4.176091259055681
15000,AnnSql On-Disk,0.2709269523620605,Filter6,-1.3059060429166387,-0.5671477883228073,9.615805480084347,4.176091259055681
15000,AnnData Backed,0.1382431983947754,Filter6,-1.9787408376577569,-0.859356226911382,9.615805480084347,4.176091259055681
20000,AnnSql In-Memory,0.0057063102722167,Filter2,-5.166182651185352,-2.2436446179141103,9.903487552536127,4.301029995663981
20000,AnnData Not-Backed,0.003920555114746,Filter2,-5.5415220243010515,-2.4066524364992845,9.903487552536127,4.301029995663981
20000,AnnSql On-Disk,0.0235414505004882,Filter2,-3.7489925605059464,-1.6281667817240755,9.903487552536127,4.301029995663981
20000,AnnData Backed,0.6657717227935791,Filter2,-0.4068084257650918,-0.17667465450152803,9.903487552536127,4.301029995663981
20000,AnnSql In-Memory,0.007695198059082,Filter3,-4.867158773350404,-2.1137801978130804,9.903487552536127,4.301029995663981
20000,AnnData Not-Backed,0.0033671855926513,Filter3,-5.693678019249753,-2.4727329454940046,9.903487552536127,4.301029995663981
20000,AnnSql On-Disk,0.1249754428863525,Filter3,-2.079638017889202,-0.9031753155254967,9.903487552536127,4.301029995663981
20000,AnnData Backed,0.5332026481628418,Filter3,-0.6288537241429516,-0.2731077023195936,9.903487552536127,4.301029995663981
20000,AnnSql In-Memory,0.0109100341796875,Filter4,-4.518072346265117,-1.9621738888226186,9.903487552536127,4.301029995663981
20000,AnnData Not-Backed,0.0068883895874023,Filter4,-4.977917953148066,-2.161882298419335,9.903487552536127,4.301029995663981
20000,AnnSql On-Disk,0.128509521484375,Filter4,-2.0517522802372516,-0.8910646935394528,9.903487552536127,4.301029995663981
20000,AnnData Backed,0.6254620552062988,Filter4,-0.46926461405466424,-0.20379903243639982,9.903487552536127,4.301029995663981
20000,AnnSql In-Memory,0.010897159576416,Filter5,-4.519253113025969,-1.9626866893112709,9.903487552536127,4.301029995663981
