size,method,memory,filter_type,memory_log,memory_log10,size_log,size_log10
1000,AnnSql In-Memory,1882.0,Filter1,7.540090320145325,3.274619619091238,6.907755278982137,3.0
1000,AnnData Not-Backed,76.375,Filter1,4.335655417491759,1.8829512232506107,6.907755278982137,3.0
1000,AnnSql On-Disk,41.15234375,Filter1,3.717280881758727,1.6143945746322694,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter1,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,1886.875,Filter2,7.542677300461103,3.275743130367173,6.907755278982137,3.0
1000,AnnData Not-Backed,76.25,Filter2,4.334017415487521,1.8822398480188234,6.907755278982137,3.0
1000,AnnSql On-Disk,39.25,Filter2,3.6699514442284173,1.5938396610812713,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter2,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,1878.875,Filter3,7.53842847245339,3.273897887808867,6.907755278982137,3.0
1000,AnnData Not-Backed,76.25,Filter3,4.334017415487521,1.8822398480188234,6.907755278982137,3.0
1000,AnnSql On-Disk,40.5,Filter3,3.7013019741124933,1.6074550232146685,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter3,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,1879.625,Filter4,7.5388275678424845,3.274071212734104,6.907755278982137,3.0
1000,AnnData Not-Backed,76.25,Filter4,4.334017415487521,1.8822398480188234,6.907755278982137,3.0
1000,AnnSql On-Disk,45.99609375,Filter4,3.828556474405056,1.6627209504890843,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter4,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,1882.0,Filter5,7.540090320145325,3.274619619091238,6.907755278982137,3.0
1000,AnnData Not-Backed,76.25,Filter5,4.334017415487521,1.8822398480188234,6.907755278982137,3.0
1000,AnnSql On-Disk,40.25,Filter5,3.6951100038645723,1.6047658847038873,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter5,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,1875.125,Filter6,7.536430602849054,3.273030224064142,6.907755278982137,3.0
1000,AnnData Not-Backed,76.25,Filter6,4.334017415487521,1.8822398480188234,6.907755278982137,3.0
1000,AnnSql On-Disk,39.0,Filter6,3.6635616461296463,1.591064607026499,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter6,-inf,-inf,6.907755278982137,3.0
