size,time,type,filter
2000,0.013892650604248047,AnnSQL,1
2000,0.2871980667114258,AnnData,1
2000,0.12122559547424316,AnnSQL,2
2000,0.09584426879882812,AnnData,2
2000,0.13297438621520996,AnnSQL,3
2000,0.07332563400268555,AnnData,3
2000,0.1183938980102539,AnnSQL,4
2000,0.021560192108154297,AnnData,4
4000,0.014290094375610352,AnnSQL,1
4000,0.679893970489502,AnnData,1
4000,0.14365601539611816,AnnSQL,2
4000,0.18838000297546387,AnnData,2
4000,0.13242173194885254,AnnSQL,3
4000,0.1547706127166748,AnnData,3
4000,0.14815664291381836,AnnSQL,4
4000,0.04093575477600098,AnnData,4
6000,0.016756296157836914,AnnSQL,1
6000,1.0140540599822998,AnnData,1
6000,0.1923363208770752,AnnSQL,2
6000,0.26983094215393066,AnnData,2
6000,0.13685917854309082,AnnSQL,3
6000,0.21011757850646973,AnnData,3
6000,0.1411728858947754,AnnSQL,4
6000,0.05343818664550781,AnnData,4
8000,0.013574600219726562,AnnSQL,1
8000,1.3245413303375244,AnnData,1
8000,0.1494889259338379,AnnSQL,2
8000,0.35625314712524414,AnnData,2
8000,0.14137506484985352,AnnSQL,3
8000,0.27640557289123535,AnnData,3
8000,0.15331268310546875,AnnSQL,4
8000,0.07007884979248047,AnnData,4
10000,0.013431072235107422,AnnSQL,1
10000,1.8055839538574219,AnnData,1
10000,0.14249444007873535,AnnSQL,2
10000,0.41854143142700195,AnnData,2
10000,0.14832162857055664,AnnSQL,3
10000,0.45279407501220703,AnnData,3
10000,0.15350723266601562,AnnSQL,4
10000,0.10223913192749023,AnnData,4
12000,0.017307758331298828,AnnSQL,1
12000,2.196260929107666,AnnData,1
12000,0.14612722396850586,AnnSQL,2
12000,0.5217905044555664,AnnData,2
12000,0.18729329109191895,AnnSQL,3
12000,0.4452226161956787,AnnData,3
12000,0.14789891242980957,AnnSQL,4
12000,0.13390517234802246,AnnData,4
14000,0.02264094352722168,AnnSQL,1
14000,2.9324936866760254,AnnData,1
14000,0.15291213989257812,AnnSQL,2
14000,0.7240676879882812,AnnData,2
14000,0.16550493240356445,AnnSQL,3
14000,0.6178557872772217,AnnData,3
14000,0.15356898307800293,AnnSQL,4
14000,0.11909294128417969,AnnData,4
16000,0.02309441566467285,AnnSQL,1
16000,3.1864542961120605,AnnData,1
16000,0.12784671783447266,AnnSQL,2
16000,0.6521832942962646,AnnData,2
16000,0.14046740531921387,AnnSQL,3
16000,0.5000143051147461,AnnData,3
16000,0.13987350463867188,AnnSQL,4
16000,0.12652063369750977,AnnData,4
18000,0.017756223678588867,AnnSQL,1
18000,2.2942447662353516,AnnData,1
18000,0.13388466835021973,AnnSQL,2
18000,0.5791780948638916,AnnData,2
18000,0.1456897258758545,AnnSQL,3
18000,0.5174412727355957,AnnData,3
18000,0.14934682846069336,AnnSQL,4
18000,0.13717103004455566,AnnData,4
20000,0.017977237701416016,AnnSQL,1
20000,3.6949939727783203,AnnData,1
20000,0.1443336009979248,AnnSQL,2
20000,1.0659656524658203,AnnData,2
20000,0.1885976791381836,AnnSQL,3
20000,0.5052218437194824,AnnData,3
20000,0.1463479995727539,AnnSQL,4
20000,0.1229708194732666,AnnData,4
22000,0.013364791870117188,AnnSQL,1
22000,3.788437604904175,AnnData,1
22000,0.14635038375854492,AnnSQL,2
22000,0.7419674396514893,AnnData,2
22000,0.13961195945739746,AnnSQL,3
22000,0.5056030750274658,AnnData,3
22000,0.12975001335144043,AnnSQL,4
22000,0.1245110034942627,AnnData,4
24000,0.013174057006835938,AnnSQL,1
24000,4.5367512702941895,AnnData,1
24000,0.13563275337219238,AnnSQL,2
24000,0.8554425239562988,AnnData,2
24000,0.14106416702270508,AnnSQL,3
24000,0.5403347015380859,AnnData,3
24000,0.14121651649475098,AnnSQL,4
24000,0.1355588436126709,AnnData,4
26000,0.015946149826049805,AnnSQL,1
26000,3.410914421081543,AnnData,1
26000,0.13672947883605957,AnnSQL,2
26000,0.9912347793579102,AnnData,2
26000,0.14741778373718262,AnnSQL,3
26000,0.7056894302368164,AnnData,3
26000,0.1512751579284668,AnnSQL,4
26000,0.18916606903076172,AnnData,4
28000,0.015629291534423828,AnnSQL,1
28000,3.377378225326538,AnnData,1
28000,0.1361832618713379,AnnSQL,2
28000,1.1868839263916016,AnnData,2
28000,0.15114569664001465,AnnSQL,3
28000,0.8433799743652344,AnnData,3
28000,0.15412139892578125,AnnSQL,4
28000,0.2344350814819336,AnnData,4
30000,0.014575481414794922,AnnSQL,1
30000,3.6366512775421143,AnnData,1
30000,0.1292707920074463,AnnSQL,2
30000,1.222731113433838,AnnData,2
30000,0.15132904052734375,AnnSQL,3
30000,0.9531278610229492,AnnData,3
30000,0.15715909004211426,AnnSQL,4
30000,0.24723291397094727,AnnData,4
32000,0.014892578125,AnnSQL,1
32000,3.557529926300049,AnnData,1
32000,0.12679171562194824,AnnSQL,2
32000,1.2784576416015625,AnnData,2
32000,0.13883566856384277,AnnSQL,3
32000,0.989985466003418,AnnData,3
32000,0.13324975967407227,AnnSQL,4
32000,0.24201440811157227,AnnData,4
34000,0.013556480407714844,AnnSQL,1
34000,3.9975497722625732,AnnData,1
34000,0.13616347312927246,AnnSQL,2
34000,1.3371870517730713,AnnData,2
34000,0.14733529090881348,AnnSQL,3
34000,0.9917247295379639,AnnData,3
34000,0.1864476203918457,AnnSQL,4
34000,0.27419304847717285,AnnData,4
36000,0.013940811157226562,AnnSQL,1
36000,6.499563217163086,AnnData,1
36000,0.12495040893554688,AnnSQL,2
36000,1.735628604888916,AnnData,2
36000,0.13737869262695312,AnnSQL,3
36000,1.087752342224121,AnnData,3
36000,0.13485026359558105,AnnSQL,4
36000,0.27291154861450195,AnnData,4
38000,0.014618873596191406,AnnSQL,1
38000,6.848405599594116,AnnData,1
38000,0.12619614601135254,AnnSQL,2
38000,1.899582862854004,AnnData,2
38000,0.13501334190368652,AnnSQL,3
38000,1.0655665397644043,AnnData,3
38000,0.1553936004638672,AnnSQL,4
38000,0.27387404441833496,AnnData,4
40000,0.014301776885986328,AnnSQL,1
40000,6.7631988525390625,AnnData,1
40000,0.12348794937133789,AnnSQL,2
40000,3.585636854171753,AnnData,2
40000,0.13590764999389648,AnnSQL,3
40000,1.2320139408111572,AnnData,3
40000,0.15001535415649414,AnnSQL,4
40000,0.3023345470428467,AnnData,4
42000,0.013679981231689453,AnnSQL,1
42000,6.8541576862335205,AnnData,1
42000,0.1235051155090332,AnnSQL,2
42000,1.8792929649353027,AnnData,2
42000,0.14303231239318848,AnnSQL,3
42000,1.2818889617919922,AnnData,3
42000,0.15111804008483887,AnnSQL,4
42000,0.3184223175048828,AnnData,4
44000,0.014156341552734375,AnnSQL,1
44000,5.709265947341919,AnnData,1
44000,0.12679433822631836,AnnSQL,2
44000,1.8045322895050049,AnnData,2
44000,0.13861083984375,AnnSQL,3
44000,1.7798972129821777,AnnData,3
44000,0.1608598232269287,AnnSQL,4
44000,0.32441139221191406,AnnData,4
46000,0.015240192413330078,AnnSQL,1
46000,7.777614593505859,AnnData,1
46000,0.13202667236328125,AnnSQL,2
46000,2.174023389816284,AnnData,2
46000,0.1441493034362793,AnnSQL,3
