size,time,type,filter
2000,0.013528585433959961,AnnSQL,1
2000,0.0015232563018798828,AnnData,1
2000,0.11181282997131348,AnnSQL,2
2000,0.002168893814086914,AnnData,2
2000,0.10932469367980957,AnnSQL,3
2000,0.0018992424011230469,AnnData,3
2000,0.11590909957885742,AnnSQL,4
2000,0.002140522003173828,AnnData,4
4000,0.014089345932006836,AnnSQL,1
4000,0.0016682147979736328,AnnData,1
4000,0.12350130081176758,AnnSQL,2
4000,0.0023653507232666016,AnnData,2
4000,0.12218213081359863,AnnSQL,3
4000,0.0024344921112060547,AnnData,3
4000,0.13242173194885254,AnnSQL,4
4000,0.001962423324584961,AnnData,4
6000,0.013634920120239258,AnnSQL,1
6000,0.0025131702423095703,AnnData,1
6000,0.13129806518554688,AnnSQL,2
6000,0.0041713714599609375,AnnData,2
6000,0.12566471099853516,AnnSQL,3
6000,0.002599000930786133,AnnData,3
6000,0.13041162490844727,AnnSQL,4
6000,0.002541065216064453,AnnData,4
8000,0.013462543487548828,AnnSQL,1
8000,0.0019512176513671875,AnnData,1
8000,0.1162109375,AnnSQL,2
8000,0.0027649402618408203,AnnData,2
8000,0.12981581687927246,AnnSQL,3
8000,0.0029137134552001953,AnnData,3
8000,0.12360143661499023,AnnSQL,4
8000,0.002399444580078125,AnnData,4
10000,0.01336050033569336,AnnSQL,1
10000,0.0020825862884521484,AnnData,1
10000,0.14393949508666992,AnnSQL,2
10000,0.005326271057128906,AnnData,2
10000,0.16977548599243164,AnnSQL,3
10000,0.0028533935546875,AnnData,3
10000,0.13400506973266602,AnnSQL,4
10000,0.0030155181884765625,AnnData,4
12000,0.015048503875732422,AnnSQL,1
12000,0.00254058837890625,AnnData,1
12000,0.1382122039794922,AnnSQL,2
12000,0.0035109519958496094,AnnData,2
12000,0.12656068801879883,AnnSQL,3
12000,0.003534555435180664,AnnData,3
12000,0.14928579330444336,AnnSQL,4
12000,0.002565622329711914,AnnData,4
14000,0.013633012771606445,AnnSQL,1
14000,0.0023636817932128906,AnnData,1
14000,0.13590645790100098,AnnSQL,2
14000,0.00520634651184082,AnnData,2
14000,0.1437840461730957,AnnSQL,3
14000,0.004315614700317383,AnnData,3
14000,0.1392652988433838,AnnSQL,4
14000,0.002492666244506836,AnnData,4
16000,0.013951301574707031,AnnSQL,1
16000,0.002618551254272461,AnnData,1
16000,0.13084769248962402,AnnSQL,2
16000,0.003812074661254883,AnnData,2
16000,0.13574600219726562,AnnSQL,3
16000,0.004540443420410156,AnnData,3
16000,0.12125039100646973,AnnSQL,4
16000,0.002716064453125,AnnData,4
18000,0.014743566513061523,AnnSQL,1
18000,0.002672910690307617,AnnData,1
18000,0.1290907859802246,AnnSQL,2
18000,0.003875732421875,AnnData,2
18000,0.1285238265991211,AnnSQL,3
18000,0.0038917064666748047,AnnData,3
18000,0.131727933883667,AnnSQL,4
18000,0.0026395320892333984,AnnData,4
20000,0.017404794692993164,AnnSQL,1
20000,0.003202676773071289,AnnData,1
20000,0.1412067413330078,AnnSQL,2
20000,0.0041561126708984375,AnnData,2
20000,0.13570237159729004,AnnSQL,3
20000,0.0044765472412109375,AnnData,3
20000,0.14336085319519043,AnnSQL,4
20000,0.003028392791748047,AnnData,4
22000,0.01818561553955078,AnnSQL,1
22000,0.005423545837402344,AnnData,1
22000,0.13655591011047363,AnnSQL,2
22000,0.0040988922119140625,AnnData,2
22000,0.1311478614807129,AnnSQL,3
22000,0.005033731460571289,AnnData,3
22000,0.12633752822875977,AnnSQL,4
22000,0.0030202865600585938,AnnData,4
24000,0.01402425765991211,AnnSQL,1
24000,0.0031867027282714844,AnnData,1
24000,0.12182974815368652,AnnSQL,2
24000,0.005799531936645508,AnnData,2
24000,0.12447643280029297,AnnSQL,3
24000,0.005831718444824219,AnnData,3
24000,0.12826323509216309,AnnSQL,4
24000,0.0031452178955078125,AnnData,4
26000,0.014089822769165039,AnnSQL,1
26000,0.004884958267211914,AnnData,1
26000,0.13385796546936035,AnnSQL,2
26000,0.0061757564544677734,AnnData,2
26000,0.1310412883758545,AnnSQL,3
26000,0.004815101623535156,AnnData,3
26000,0.12671160697937012,AnnSQL,4
26000,0.0030472278594970703,AnnData,4
28000,0.014890432357788086,AnnSQL,1
28000,0.003705263137817383,AnnData,1
28000,0.14667105674743652,AnnSQL,2
28000,0.006349086761474609,AnnData,2
28000,0.1421494483947754,AnnSQL,3
28000,0.005139350891113281,AnnData,3
28000,0.13564205169677734,AnnSQL,4
28000,0.0033943653106689453,AnnData,4
30000,0.014063596725463867,AnnSQL,1
30000,0.0036745071411132812,AnnData,1
30000,0.14970850944519043,AnnSQL,2
30000,0.005656719207763672,AnnData,2
30000,0.1422109603881836,AnnSQL,3
30000,0.005445718765258789,AnnData,3
30000,0.13444232940673828,AnnSQL,4
30000,0.003293752670288086,AnnData,4
32000,0.015219449996948242,AnnSQL,1
32000,0.003954172134399414,AnnData,1
32000,0.1262803077697754,AnnSQL,2
32000,0.005871772766113281,AnnData,2
32000,0.13296008110046387,AnnSQL,3
32000,0.006040334701538086,AnnData,3
32000,0.12569522857666016,AnnSQL,4
32000,0.0033118724822998047,AnnData,4
34000,0.013746023178100586,AnnSQL,1
34000,0.004105567932128906,AnnData,1
34000,0.1292564868927002,AnnSQL,2
34000,0.009618043899536133,AnnData,2
34000,0.1398181915283203,AnnSQL,3
34000,0.010253190994262695,AnnData,3
34000,0.13405323028564453,AnnSQL,4
34000,0.003438711166381836,AnnData,4
36000,0.013619184494018555,AnnSQL,1
36000,0.004498004913330078,AnnData,1
36000,0.13169479370117188,AnnSQL,2
36000,0.006009578704833984,AnnData,2
36000,0.1534583568572998,AnnSQL,3
36000,0.006402492523193359,AnnData,3
36000,0.15700292587280273,AnnSQL,4
36000,0.0035381317138671875,AnnData,4
38000,0.01514577865600586,AnnSQL,1
38000,0.004421710968017578,AnnData,1
38000,0.14141178131103516,AnnSQL,2
38000,0.006647348403930664,AnnData,2
38000,0.16333913803100586,AnnSQL,3
38000,0.007058858871459961,AnnData,3
38000,0.14274883270263672,AnnSQL,4
38000,0.003942251205444336,AnnData,4
40000,0.014128923416137695,AnnSQL,1
40000,0.004647016525268555,AnnData,1
40000,0.14617562294006348,AnnSQL,2
40000,0.007009029388427734,AnnData,2
40000,0.13216876983642578,AnnSQL,3
40000,0.008873939514160156,AnnData,3
40000,0.1379697322845459,AnnSQL,4
40000,0.0038602352142333984,AnnData,4
42000,0.013593196868896484,AnnSQL,1
42000,0.004568338394165039,AnnData,1
42000,0.11835002899169922,AnnSQL,2
42000,0.012247085571289062,AnnData,2
42000,0.13330531120300293,AnnSQL,3
42000,0.01733994483947754,AnnData,3
42000,0.1267094612121582,AnnSQL,4
42000,0.005266427993774414,AnnData,4
44000,0.015429973602294922,AnnSQL,1
44000,0.005452632904052734,AnnData,1
44000,0.13558459281921387,AnnSQL,2
44000,0.007129192352294922,AnnData,2
44000,0.13568854331970215,AnnSQL,3
44000,0.007856130599975586,AnnData,3
44000,0.12426090240478516,AnnSQL,4
44000,0.004430532455444336,AnnData,4
46000,0.01406550407409668,AnnSQL,1
46000,0.005140066146850586,AnnData,1
46000,0.13475489616394043,AnnSQL,2
46000,0.007349491119384766,AnnData,2
46000,0.1252150535583496,AnnSQL,3
46000,0.0077021121978759766,AnnData,3
46000,0.12763237953186035,AnnSQL,4
46000,0.0044062137603759766,AnnData,4
48000,0.014352560043334961,AnnSQL,1
48000,0.005174398422241211,AnnData,1
48000,0.13702750205993652,AnnSQL,2
48000,0.009167194366455078,AnnData,2
48000,0.13460087776184082,AnnSQL,3
48000,0.009363412857055664,AnnData,3
48000,0.1375718116760254,AnnSQL,4
48000,0.004374504089355469,AnnData,4
50000,0.013956308364868164,AnnSQL,1
50000,0.005459785461425781,AnnData,1
50000,0.13750600814819336,AnnSQL,2
50000,0.007430315017700195,AnnData,2
50000,0.1329483985900879,AnnSQL,3
50000,0.009210586547851562,AnnData,3
50000,0.1367340087890625,AnnSQL,4
50000,0.004379987716674805,AnnData,4
52000,0.014357328414916992,AnnSQL,1
52000,0.005522727966308594,AnnData,1
52000,0.1737194061279297,AnnSQL,2
52000,0.009785175323486328,AnnData,2
52000,0.15958690643310547,AnnSQL,3
52000,0.009174346923828125,AnnData,3
52000,0.13045597076416016,AnnSQL,4
52000,0.0045430660247802734,AnnData,4
54000,0.014109611511230469,AnnSQL,1
54000,0.006144046783447266,AnnData,1
54000,0.14014792442321777,AnnSQL,2
54000,0.01579761505126953,AnnData,2
54000,0.14587855339050293,AnnSQL,3
54000,0.009272098541259766,AnnData,3
54000,0.12905335426330566,AnnSQL,4
54000,0.005323886871337891,AnnData,4
98000,0.018610239028930664,AnnSQL,1
98000,0.011202812194824219,AnnData,1
98000,0.147843599319458,AnnSQL,2
98000,0.017316579818725586,AnnData,2
98000,0.15973472595214844,AnnSQL,3
98000,0.020731687545776367,AnnData,3
98000,0.1649618148803711,AnnSQL,4
98000,0.00919485092163086,AnnData,4
